Year,Month,Day,Hour,Minute,Second,CloudCover
2021,11,16,13,55,56,0.945
2021,11,16,13,56,16,0.944
2021,11,16,13,56,37,0.944
2021,11,16,13,56,57,0.942
2021,11,16,13,57,18,0.943
2021,11,16,13,57,38,0.944
2021,11,16,13,57,59,0.944
2021,11,16,13,58,19,0.944
2021,11,16,13,58,40,0.945
2021,11,16,13,59,00,0.944
2021,11,16,13,59,21,0.944
2021,11,16,13,59,41,0.945
2021,11,16,14,00,02,0.937
2021,11,16,14,00,22,0.939
2021,11,16,14,00,43,0.941
2021,11,16,14,01,03,0.942
2021,11,16,14,01,24,0.943
2021,11,16,14,01,44,0.944
2021,11,16,14,02,05,0.943
2021,11,16,14,02,25,0.941
2021,11,16,14,02,46,0.941
2021,11,16,14,03,06,0.939
2021,11,16,14,03,27,0.936
2021,11,16,14,03,47,0.933
2021,11,16,14,04,08,0.931
2021,11,16,14,04,28,0.927
2021,11,16,14,04,49,0.925
2021,11,16,14,05,09,0.922
2021,11,16,14,05,30,0.921
2021,11,16,14,05,50,0.918
2021,11,16,14,06,11,0.918
2021,11,16,14,06,31,0.920
2021,11,16,14,06,52,0.920
2021,11,16,14,07,12,0.920
2021,11,16,14,07,33,0.920
2021,11,16,14,07,53,0.916
2021,11,16,14,08,14,0.911
2021,11,16,14,08,34,0.907
2021,11,16,14,08,55,0.901
2021,11,16,14,09,15,0.994
2021,11,16,14,09,36,0.987
2021,11,16,14,09,56,0.977
2021,11,16,14,10,17,0.968
2021,11,16,14,10,37,0.956
2021,11,16,14,10,58,0.948
2021,11,16,14,11,18,0.941
2021,11,16,14,11,39,0.933
2021,11,16,14,11,59,0.924
2021,11,16,14,12,20,0.918
2021,11,16,14,12,40,0.913
2021,11,16,14,13,01,0.909
2021,11,16,14,13,21,0.901
2021,11,16,14,13,42,0.992
2021,11,16,14,14,02,0.985
2021,11,16,14,14,23,0.977
2021,11,16,14,14,43,0.959
2021,11,16,14,15,04,0.954
2021,11,16,14,15,24,0.944
2021,11,16,14,15,45,0.939
2021,11,16,14,16,05,0.937
2021,11,16,14,16,26,0.947
2021,11,16,14,16,46,0.947
2021,11,16,14,17,07,0.948
2021,11,16,14,17,27,0.951
2021,11,16,14,17,48,0.954
2021,11,16,14,18,08,0.960
2021,11,16,14,18,29,0.964
2021,11,16,14,18,49,0.967
2021,11,16,14,19,10,0.978
2021,11,16,14,19,30,0.982
2021,11,16,14,19,51,0.986
2021,11,16,14,20,11,0.986
2021,11,16,14,20,32,0.988
2021,11,16,14,20,52,0.996
2021,11,16,14,21,13,0.996
2021,11,16,14,21,33,0.997
2021,11,16,14,21,54,0.994
2021,11,16,14,22,14,0.999
2021,11,16,14,22,35,0.804
2021,11,16,14,22,55,0.806
2021,11,16,14,23,16,0.816
2021,11,16,14,23,37,0.824
2021,11,16,14,23,57,0.835
2021,11,16,14,24,18,0.850
2021,11,16,14,24,38,0.863
2021,11,16,14,24,59,0.873
2021,11,16,14,25,19,0.880
2021,11,16,14,25,40,0.885
2021,11,16,14,26,00,0.887
2021,11,16,14,26,21,0.888
2021,11,16,14,26,41,0.886
2021,11,16,14,27,02,0.887
2021,11,16,14,27,22,0.887
2021,11,16,14,27,43,0.890
2021,11,16,14,28,04,0.888
2021,11,16,14,28,24,0.883
2021,11,16,14,28,44,0.878
2021,11,16,14,29,05,0.872
2021,11,16,14,29,25,0.864
2021,11,16,14,29,46,0.859
2021,11,16,14,30,06,0.853
2021,11,16,14,30,27,0.847
2021,11,16,14,30,47,0.845
2021,11,16,14,31,08,0.843
2021,11,16,14,31,28,0.843
2021,11,16,14,31,49,0.845
2021,11,16,14,32,09,0.846
2021,11,16,14,32,30,0.848
2021,11,16,14,32,50,0.850
2021,11,16,14,33,11,0.852
2021,11,16,14,33,31,0.856
2021,11,16,14,33,52,0.863
2021,11,16,14,34,12,0.870
2021,11,16,14,34,33,0.877
2021,11,16,14,34,53,0.885
2021,11,16,14,35,14,0.891
2021,11,16,14,35,34,0.895
2021,11,16,14,35,54,0.898
2021,11,16,14,36,15,0.901
